model_id,model_name,policy_version,content_fingerprint,params_json,fold,train_start,train_end,train_label_end_max,validation_start,validation_end,train_rows,validation_rows,f1_up,precision_up,recall_up,decision_threshold
2,Logistic Regression,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""C"": 1e-05, ""solver"": ""liblinear""}",1,2019-10-23,2020-11-02,2020-11-09,2020-11-10,2021-10-12,1483,73577,0.43425242842740325,0.46845975900286574,0.4047008292071825,0.5
2,Logistic Regression,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""C"": 1e-05, ""solver"": ""liblinear""}",2,2019-10-23,2021-10-05,2021-10-12,2021-10-13,2022-09-14,73321,85527,0.49757787204136444,0.42967683204369594,0.5909673572812639,0.5
2,Logistic Regression,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""C"": 1e-05, ""solver"": ""liblinear""}",3,2019-10-23,2022-09-07,2022-09-14,2022-09-15,2023-08-15,158865,84930,0.4551655208741339,0.41242412375171333,0.5077901335020945,0.5
2,Logistic Regression,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""C"": 1e-05, ""solver"": ""liblinear""}",4,2019-10-23,2023-08-08,2023-08-15,2023-08-16,2024-07-18,243728,85783,0.38027671771766725,0.40756756756756757,0.35641130684145844,0.5
2,Logistic Regression,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""C"": 1e-05, ""solver"": ""liblinear""}",5,2019-10-23,2024-07-11,2024-07-18,2024-07-19,2025-06-23,329509,85402,0.3667655096226525,0.421996253679422,0.32431876606683807,0.5
3,Random Forest,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 120}",1,2019-10-23,2020-11-02,2020-11-09,2020-11-10,2021-10-12,1483,73577,0.4749344952880036,0.4613956628132647,0.4892918928592734,0.5
3,Random Forest,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 120}",2,2019-10-23,2021-10-05,2021-10-12,2021-10-13,2022-09-14,73321,85527,0.5163652393255538,0.4381571838244462,0.6285586525562677,0.5
3,Random Forest,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 120}",3,2019-10-23,2022-09-07,2022-09-14,2022-09-15,2023-08-15,158865,84930,0.457120441510659,0.41470119033010183,0.5092065214115662,0.5
3,Random Forest,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 120}",4,2019-10-23,2023-08-08,2023-08-15,2023-08-16,2024-07-18,243728,85783,0.40979789512899323,0.4038055615038698,0.41597075599533606,0.5
3,Random Forest,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 120}",5,2019-10-23,2024-07-11,2024-07-18,2024-07-19,2025-06-23,329509,85402,0.4349675051871667,0.4352137807974744,0.4347215081405313,0.5
4,Gradient Boosting,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.85}",1,2019-10-23,2020-11-02,2020-11-09,2020-11-10,2021-10-12,1483,73577,0.47402557669950435,0.4865289204295673,0.46214878005130344,0.5
4,Gradient Boosting,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.85}",2,2019-10-23,2021-10-05,2021-10-12,2021-10-13,2022-09-14,73321,85527,0.5303162031798964,0.44157080523601744,0.6637054702638248,0.5
4,Gradient Boosting,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.85}",3,2019-10-23,2022-09-07,2022-09-14,2022-09-15,2023-08-15,158865,84930,0.4555993785108163,0.40726495726495726,0.5169514510442094,0.5
4,Gradient Boosting,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.85}",4,2019-10-23,2023-08-08,2023-08-15,2023-08-16,2024-07-18,243728,85783,0.429604862272081,0.4260303687635575,0.4332398449563546,0.5
4,Gradient Boosting,v2_date_purged_fixed_050,9cf8f4c431a9e89fea5b7379f196f9505b74cc80396a163d96d8d5191f2204d1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.85}",5,2019-10-23,2024-07-11,2024-07-18,2024-07-19,2025-06-23,329509,85402,0.4275545660020916,0.42090930224834777,0.43441302485004285,0.5
