feature,importance
volatility_20d,0.3133093508187557
month,0.22645188795504098
volume_ratio_20,0.07841529459526302
return_1d,0.06426011402022254
return_20d,0.0560588490724725
return_3d,0.055320350713941695
sma20_vs_sma50,0.03398724863825364
volume_change_1d,0.023565947271204268
close_open_return,0.02113967365210935
dist_low20,0.019977154566533553
return_10d,0.01911412362440775
close_vs_sma20,0.017969942849268183
dist_high20,0.016403391225396923
return_5d,0.013659228979999574
price_range,0.013529181924615559
volatility_5d,0.008764527045233637
sma50,0.005079276373738975
sma20,0.004964762777173914
sma5,0.004512201931370185
rsi14,0.003517491964998004
