already-tested LR combos: 5
remaining untested combos to try: 1600
[1] LR_20260709_075841 f1_up=0.5483 | C=5.444e-08 solver=lbfgs | elapsed=2s
[2] LR_20260709_075843 f1_up=0.5484 | C=5.767e-04 solver=lbfgs | elapsed=5s
[3] LR_20260709_075846 f1_up=0.5475 | C=3.104e+01 solver=lbfgs | elapsed=8s
[4] LR_20260709_075849 f1_up=0.5481 | C=5.124e-05 solver=lbfgs | elapsed=10s
[5] LR_20260709_075851 f1_up=0.5475 | C=3.585e-01 solver=lbfgs | elapsed=13s
[6] LR_20260709_075854 f1_up=0.5482 | C=1.081e-05 solver=lbfgs | elapsed=15s
[7] LR_20260709_075856 f1_up=0.5475 | C=6.288e+02 solver=lbfgs | elapsed=18s
[8] LR_20260709_075859 f1_up=0.5481 | C=2.159e-05 solver=lbfgs | elapsed=20s
[9] LR_20260709_075901 f1_up=0.5482 | C=3.908e-07 solver=lbfgs | elapsed=22s
[10] LR_20260709_075903 f1_up=0.5477 | C=1.172e+03 solver=liblinear | elapsed=31s
[11] LR_20260709_075912 f1_up=0.5483 | C=1.514e-08 solver=lbfgs | elapsed=33s
[12] LR_20260709_075914 f1_up=0.5483 | C=3.965e-06 solver=lbfgs | elapsed=35s
[13] LR_20260709_075916 f1_up=0.5483 | C=3.222e-06 solver=liblinear | elapsed=38s
[14] LR_20260709_075919 f1_up=0.5490 | C=6.528e-05 solver=liblinear | elapsed=42s
[15] LR_20260709_075923 f1_up=0.5477 | C=9.522e+02 solver=liblinear | elapsed=50s
[16] LR_20260709_075931 f1_up=0.5477 | C=8.633e+00 solver=liblinear | elapsed=57s
[17] LR_20260709_075938 f1_up=0.5475 | C=1.847e+01 solver=lbfgs | elapsed=61s
[18] LR_20260709_075941 f1_up=0.5475 | C=1.409e-01 solver=lbfgs | elapsed=64s
[19] LR_20260709_075945 f1_up=0.5483 | C=1.148e-08 solver=lbfgs | elapsed=66s
[20] LR_20260709_075946 f1_up=0.5483 | C=2.055e-06 solver=lbfgs | elapsed=68s
[21] LR_20260709_075949 f1_up=0.5482 | C=4.336e-07 solver=lbfgs | elapsed=70s
[22] LR_20260709_075951 f1_up=0.5475 | C=5.110e+02 solver=lbfgs | elapsed=73s
[23] LR_20260709_075954 f1_up=0.5480 | C=1.467e-03 solver=lbfgs | elapsed=76s
[24] LR_20260709_075957 f1_up=0.5478 | C=2.073e-03 solver=liblinear | elapsed=81s
[25] LR_20260709_080002 f1_up=0.5481 | C=2.774e-02 solver=liblinear | elapsed=89s
[26] LR_20260709_080010 f1_up=0.5484 | C=7.097e-04 solver=lbfgs | elapsed=91s
[27] LR_20260709_080012 f1_up=0.5477 | C=8.173e+01 solver=liblinear | elapsed=99s
[28] LR_20260709_080020 f1_up=0.5477 | C=1.924e-01 solver=liblinear | elapsed=107s
[29] LR_20260709_080028 f1_up=0.5481 | C=2.333e-02 solver=lbfgs | elapsed=110s
[30] LR_20260709_080031 f1_up=0.5483 | C=2.347e-04 solver=lbfgs | elapsed=112s
[31] LR_20260709_080033 f1_up=0.5481 | C=3.864e-03 solver=liblinear | elapsed=118s
[32] LR_20260709_080039 f1_up=0.5481 | C=1.017e-02 solver=liblinear | elapsed=125s
[33] LR_20260709_080046 f1_up=0.5482 | C=6.004e-06 solver=liblinear | elapsed=128s
