index,n_estimators,max_depth,min_samples_leaf,max_features,f1_up_mean,f1_up_std,precision_up_mean,recall_up_mean,seconds
1,80,4,100,0.6,0.4488856203235546,0.047283547262436734,0.4195017695608526,0.4946584246146287,46.3
2,80,4,100,0.4,0.44868818790959714,0.04745520652180473,0.4204764940841882,0.4932077815762848,36.36
3,80,4,100,0.5,0.4482514048056229,0.048779932652400375,0.42044827434908927,0.4928489540499452,40.26
4,80,4,100,sqrt,0.44823091093924416,0.05078289806312362,0.42088914287705803,0.4921234077854281,22.31
5,80,4,100,log2,0.44823091093924416,0.05078289806312362,0.42088914287705803,0.4921234077854281,22.46
6,80,4,100,0.7,0.4490082309344907,0.046910866006207655,0.41809941930936423,0.4962457358349773,59.59
7,80,4,100,0.3,0.44601675294213117,0.04994017417649835,0.42165927675418047,0.486265153943059,29.24
8,100,4,100,0.4,0.44876920886882,0.04769715453039838,0.4205866833200429,0.49358153372234737,52.63
9,80,4,80,0.6,0.44923634077991936,0.0469615461739263,0.4193965811054542,0.4954158540215028,53.45
10,80,5,100,0.5,0.45041874331807596,0.04696726196187653,0.4225654809629594,0.4943344631006853,51.05
11,80,4,80,0.7,0.44927909165278707,0.04723218309887195,0.4181429657475778,0.4968725749213555,54.55
12,80,4,80,0.3,0.44689901578427504,0.04980353040778898,0.4216731032141447,0.4882844162399961,26.62
13,80,4,80,0.4,0.4490740212218302,0.0477980498799913,0.4206061398167276,0.49412233774132985,35.47
14,80,5,100,0.4,0.4502510508978821,0.04764846037565219,0.4220500197063644,0.4947490296796958,43.0
15,100,4,100,0.6,0.44850850574358675,0.0470856840579735,0.41933260553051477,0.49364767891628425,69.07
16,80,4,80,sqrt,0.44809520426348814,0.050311530952439946,0.42116467167804544,0.49118679916249397,27.95
17,100,4,100,sqrt,0.447963201112053,0.05114109342255891,0.42148516989343465,0.4912775655358971,31.42
18,80,5,100,sqrt,0.44834767741948245,0.05025922089843708,0.4219510242568508,0.4905924613571053,30.28
19,100,4,100,0.7,0.4491056101571522,0.04716402904328254,0.41804279106858394,0.49668370331002853,87.04
20,100,4,100,0.5,0.4480911827312397,0.04852607576241672,0.4193344640681075,0.4936191869376191,62.81
21,80,5,100,0.6,0.45100809380673335,0.047093292250062514,0.4211300480527685,0.4971764214310393,88.72
22,100,4,100,0.3,0.44759367980227854,0.04953275952315414,0.42165219396094455,0.48971595918822325,41.4
23,80,4,80,log2,0.44809520426348814,0.050311530952439946,0.42116467167804544,0.49118679916249397,24.89
24,80,5,100,0.3,0.44949674402028916,0.05025171535136733,0.42275886566189075,0.4928709741225322,34.28
25,100,4,100,log2,0.447963201112053,0.05114109342255891,0.42148516989343465,0.4912775655358971,33.82
26,80,5,100,0.7,0.4516137360068037,0.045941089215527434,0.4215780761977429,0.4978563854166169,77.99
27,80,5,100,log2,0.44834767741948245,0.05025922089843708,0.4219510242568508,0.4905924613571053,36.03
28,80,4,80,0.5,0.44818308318097166,0.04855689350798754,0.4204095839377038,0.49264775394818017,47.9
29,120,4,100,0.6,0.44839114543765046,0.04719467433513096,0.4190262569238444,0.49387473779880164,79.55
30,120,4,100,0.5,0.4482436934786909,0.04840902492256979,0.4197972076191439,0.4934302437934016,64.11
31,80,6,100,sqrt,0.45196940120712925,0.04840577043740333,0.42402435480879347,0.4952471342958093,30.91
32,120,4,100,0.7,0.44959593724514824,0.04792704012605484,0.41810158582281653,0.4980755422646424,86.11
33,80,6,100,0.3,0.45178934503712986,0.047756372680110695,0.4242683477140801,0.49467755691920423,42.26
34,80,6,100,0.7,0.4515931217257821,0.04543592364199204,0.4248977214628244,0.4923000442321346,97.23
35,80,6,100,log2,0.45196940120712925,0.04840577043740333,0.42402435480879347,0.4952471342958093,34.82
36,80,6,100,0.6,0.4518203000464177,0.04600945593987951,0.42505880201390045,0.49307053662997713,78.14
37,80,6,100,0.4,0.452250837243578,0.04492505999582054,0.4250676949382418,0.4941487277481465,62.05
38,80,6,100,0.5,0.45247999899368985,0.04526072058301169,0.4251352501659163,0.4944925701080628,77.5
39,120,4,100,0.3,0.4484396134313182,0.049356213390866585,0.42178625296788175,0.491305716534605,49.55
40,120,4,100,log2,0.4487250146502948,0.05107982586524572,0.42167401314938857,0.4928783493185816,37.96
41,120,4,100,0.4,0.4488796211943515,0.04835525904571054,0.4210792617249595,0.4934313035873604,58.26
42,120,4,100,sqrt,0.4487250146502948,0.05107982586524572,0.42167401314938857,0.4928783493185816,35.97
43,80,4,65,sqrt,0.44796826459787464,0.05010003397360145,0.421070244375215,0.49081082877293347,24.59
44,80,4,65,0.6,0.4489168069021094,0.0467348779608671,0.4193776873577669,0.4946589139351702,54.38
45,80,4,65,0.3,0.44679059925263404,0.04965782965721728,0.42183808894515745,0.4877402464223931,29.4
46,80,4,65,log2,0.44796826459787464,0.05010003397360145,0.421070244375215,0.49081082877293347,25.07
47,80,4,65,0.5,0.44809505313260256,0.04886156970897021,0.4203152741864592,0.49267573434726897,44.65
48,80,4,65,0.7,0.4492365065871674,0.04733178500285845,0.41804286127693,0.4969909688429398,60.26
49,80,4,65,0.4,0.44878885610813557,0.04777637476953333,0.42050496521903014,0.4936314535779025,40.18
50,100,4,80,sqrt,0.4471574085510803,0.05084387113110644,0.4213466110205588,0.48917787686604414,36.93
51,80,5,80,0.6,0.451230851223783,0.04689026336430622,0.4211190052584408,0.4977517124891449,71.11
52,100,4,80,log2,0.4471574085510803,0.05084387113110644,0.4213466110205588,0.48917787686604414,30.77
53,100,5,100,0.3,0.4499524564041294,0.050312601004633625,0.4230594441590922,0.49353136615936943,42.63
54,80,5,80,log2,0.44879813879435326,0.05050205947719443,0.42235112967672317,0.49111606982689404,28.83
55,80,5,80,0.7,0.45143776756537635,0.04617004233491487,0.42146167624408826,0.49779506743173874,73.35
56,100,5,100,0.7,0.45130219974142544,0.046206829363400224,0.4211313569372416,0.49780086389334083,93.04
57,100,5,100,0.4,0.45034056336186745,0.047724627646439456,0.42195528893583123,0.4950229947955348,57.92
58,80,5,80,0.5,0.4497342891522962,0.04727943320075004,0.42246660343853437,0.4930451217178978,53.38
59,100,4,80,0.4,0.4493731657474139,0.04827322150538589,0.4209315261643266,0.49482052023186707,48.53
60,100,4,80,0.5,0.44824851180028336,0.048425777322098525,0.4195247407085124,0.4937317536107404,54.96
