model_id,model_name,policy_id,content_fingerprint,params_json,fold,train_start,train_end,train_label_end_max,validation_start,validation_end,train_rows,validation_rows,f1_up,precision_up,recall_up,decision_threshold
2,Logistic Regression,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""C"": 2.68012167507e-05, ""solver"": ""liblinear""}",1,2021-01-04,2021-11-18,2021-11-25,2021-11-26,2022-10-18,78914,82539,0.4906833744817627,0.37333640503996174,0.7156153401949794,0.49
2,Logistic Regression,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""C"": 2.68012167507e-05, ""solver"": ""liblinear""}",2,2021-01-04,2022-10-11,2022-10-18,2022-10-19,2023-09-08,161487,81981,0.5070380465220475,0.44258555133079847,0.5934623004311852,0.49
2,Logistic Regression,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""C"": 2.68012167507e-05, ""solver"": ""liblinear""}",3,2021-01-04,2023-08-30,2023-09-08,2023-09-11,2024-07-30,243426,82741,0.4192218822206957,0.3884613158960708,0.45527297388945404,0.49
2,Logistic Regression,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""C"": 2.68012167507e-05, ""solver"": ""liblinear""}",4,2021-01-04,2024-07-23,2024-07-30,2024-07-31,2025-06-23,326201,82447,0.41242867554259915,0.4176777677767777,0.4073098799241626,0.49
3,Random Forest,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""max_depth"": 8, ""max_features"": 0.2, ""min_samples_leaf"": 100, ""n_estimators"": 130}",1,2021-01-04,2021-11-18,2021-11-25,2021-11-26,2022-10-18,78914,82539,0.484181978776607,0.38198806532663315,0.6610278881755495,0.49
3,Random Forest,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""max_depth"": 8, ""max_features"": 0.2, ""min_samples_leaf"": 100, ""n_estimators"": 130}",2,2021-01-04,2022-10-11,2022-10-18,2022-10-19,2023-09-08,161487,81981,0.5018794556059624,0.4520618315976276,0.5640368255448083,0.49
3,Random Forest,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""max_depth"": 8, ""max_features"": 0.2, ""min_samples_leaf"": 100, ""n_estimators"": 130}",3,2021-01-04,2023-08-30,2023-09-08,2023-09-11,2024-07-30,243426,82741,0.4360662513654749,0.38612360138032,0.5008477449983045,0.49
3,Random Forest,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""max_depth"": 8, ""max_features"": 0.2, ""min_samples_leaf"": 100, ""n_estimators"": 130}",4,2021-01-04,2024-07-23,2024-07-30,2024-07-31,2025-06-23,326201,82447,0.45897461033232034,0.4292262559589292,0.49315357067621657,0.49
4,Gradient Boosting,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""learning_rate"": 0.25, ""max_depth"": 2, ""n_estimators"": 110, ""subsample"": 0.6}",1,2021-01-04,2021-11-18,2021-11-25,2021-11-26,2022-10-18,78914,82539,0.47744325579522423,0.394678443034042,0.604130575087469,0.49
4,Gradient Boosting,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""learning_rate"": 0.25, ""max_depth"": 2, ""n_estimators"": 110, ""subsample"": 0.6}",2,2021-01-04,2022-10-11,2022-10-18,2022-10-19,2023-09-08,161487,81981,0.5073537823992271,0.450037209931669,0.5814007691411257,0.49
4,Gradient Boosting,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""learning_rate"": 0.25, ""max_depth"": 2, ""n_estimators"": 110, ""subsample"": 0.6}",3,2021-01-04,2023-08-30,2023-09-08,2023-09-11,2024-07-30,243426,82741,0.4459725865789106,0.41123930033494605,0.48711427602577145,0.49
4,Gradient Boosting,legacy_pre_validation_baseline_gate,1ce27fb1a1b3d44ec9cb69414ae816f1ddbf6d384fdf977ef1434bf53d8254e5,"{""learning_rate"": 0.25, ""max_depth"": 2, ""n_estimators"": 110, ""subsample"": 0.6}",4,2021-01-04,2024-07-23,2024-07-30,2024-07-31,2025-06-23,326201,82447,0.454770352527587,0.423877427184466,0.49052032862860756,0.49
