feature,importance
volatility_20d,0.4236305970320177
month,0.17958260150073166
return_20d,0.0763076296272329
return_1d,0.07128928288958476
volume_ratio_20,0.05613643423428566
return_3d,0.049302838461353984
volume_change_1d,0.03232358844696019
close_open_return,0.02565715778239389
price_range,0.018816612578316252
return_10d,0.013391304118279991
sma20,0.009823672461790452
close_vs_sma20,0.00940533340400177
dist_high20,0.007204950626670316
volatility_5d,0.00622920323137257
sma20_vs_sma50,0.005594537216916531
dist_low20,0.005222847762597912
return_5d,0.004539141094782272
sma5,0.003491312524251205
sma50,0.001572419512037438
rsi14,0.00047853549442254884
